Country,Year,Unemployment
AUSTRALIA,1967,1.875
AUSTRALIA,1968,1.85
AUSTRALIA,1969,1.8
AUSTRALIA,1970,1.625
AUSTRALIA,1971,1.925
AUSTRALIA,1972,2.625
AUSTRALIA,1973,2.325
AUSTRALIA,1974,2.7
AUSTRALIA,1975,4.925
AUSTRALIA,1976,4.75
AUSTRALIA,1977,5.65
AUSTRALIA,1978,6.442533
AUSTRALIA,1979,6.265499
AUSTRALIA,1980,6.106246
AUSTRALIA,1981,5.783571
AUSTRALIA,1982,7.156132
AUSTRALIA,1983,9.961594
AUSTRALIA,1984,8.98968
AUSTRALIA,1985,8.262986
AUSTRALIA,1986,8.081038
AUSTRALIA,1987,8.10804
AUSTRALIA,1988,7.227954
AUSTRALIA,1989,6.179825
AUSTRALIA,1990,6.923
AUSTRALIA,1991,9.576522
AUSTRALIA,1992,10.72814
AUSTRALIA,1993,10.87467
AUSTRALIA,1994,9.72219
AUSTRALIA,1995,8.472281
AUSTRALIA,1996,8.506114
AUSTRALIA,1997,8.362488
AUSTRALIA,1998,7.677429
AUSTRALIA,1999,6.873791
AUSTRALIA,2000,6.285546
AUSTRALIA,2001,6.742173
AUSTRALIA,2002,6.368911
AUSTRALIA,2003,5.92842
AUSTRALIA,2004,5.396734
AUSTRALIA,2005,5.033881
AUSTRALIA,2006,4.78524
AUSTRALIA,2007,4.379151
AUSTRALIA,2008,4.23433
AUSTRALIA,2009,5.560385
AUSTRALIA,2010,5.21334
AUSTRALIA,2011,5.081195
AUSTRALIA,2012,5.223376
AUSTRALIA,2013,5.66194
AUSTRALIA,2014,6.077244
AUSTRALIA,2015,6.056423
AUSTRALIA,2016,5.710301
AUSTRALIA,2017,5.59376
AUSTRALIA,2018,5.299831
AUSTRALIA,2019,5.161091
GERMANY,1991,5.525
GERMANY,1992,6.566667
GERMANY,1993,7.791667
GERMANY,1994,8.45
GERMANY,1995,8.25
GERMANY,1996,8.941667
GERMANY,1997,9.675
GERMANY,1998,9.45
GERMANY,1999,8.625
GERMANY,2000,8.008333
GERMANY,2001,7.858333
GERMANY,2002,8.683333
GERMANY,2003,9.808333
GERMANY,2004,10.5
GERMANY,2005,11.28333
GERMANY,2006,10.275
GERMANY,2007,8.541667
GERMANY,2008,7.425
GERMANY,2009,7.641667
GERMANY,2010,6.966667
GERMANY,2011,5.833333
GERMANY,2012,5.383333
GERMANY,2013,5.241667
GERMANY,2014,4.991667
GERMANY,2015,4.633333
GERMANY,2016,4.133333
GERMANY,2017,3.758333
GERMANY,2018,3.4
GERMANY,2019,3.15
JAPAN,1955,2.508333
JAPAN,1956,2.291667
JAPAN,1957,1.925
JAPAN,1958,2.041667
JAPAN,1959,2.225
JAPAN,1960,1.625
JAPAN,1961,1.433333
JAPAN,1962,1.283333
JAPAN,1963,1.283333
JAPAN,1964,1.175
JAPAN,1965,1.216667
JAPAN,1966,1.308333
JAPAN,1967,1.258333
JAPAN,1968,1.183333
JAPAN,1969,1.125
JAPAN,1970,1.15
JAPAN,1971,1.225
JAPAN,1972,1.416667
JAPAN,1973,1.266667
JAPAN,1974,1.375
JAPAN,1975,1.891667
JAPAN,1976,2.008333
JAPAN,1977,2.025
JAPAN,1978,2.241667
JAPAN,1979,2.083333
JAPAN,1980,2.008333
JAPAN,1981,2.208333
JAPAN,1982,2.35
JAPAN,1983,2.658333
JAPAN,1984,2.708333
JAPAN,1985,2.616667
JAPAN,1986,2.758333
JAPAN,1987,2.85
JAPAN,1988,2.533333
JAPAN,1989,2.266667
JAPAN,1990,2.108333
JAPAN,1991,2.1
JAPAN,1992,2.15
JAPAN,1993,2.5
JAPAN,1994,2.891667
JAPAN,1995,3.15
JAPAN,1996,3.35
JAPAN,1997,3.4
JAPAN,1998,4.108333
JAPAN,1999,4.683333
JAPAN,2000,4.716667
JAPAN,2001,5.033333
JAPAN,2002,5.375
JAPAN,2003,5.258333
JAPAN,2004,4.716667
JAPAN,2005,4.425
JAPAN,2006,4.141667
JAPAN,2007,3.841667
JAPAN,2008,3.991667
JAPAN,2009,5.066667
JAPAN,2010,5.05
JAPAN,2011,4.583333
JAPAN,2012,4.35
JAPAN,2013,4.025
JAPAN,2014,3.591667
JAPAN,2015,3.375
JAPAN,2016,3.116667
JAPAN,2017,2.808333
JAPAN,2018,2.441667
JAPAN,2019,2.35
USA,1955,4.383333
USA,1956,4.141667
USA,1957,4.258333
USA,1958,6.8
USA,1959,5.475
USA,1960,5.508333
USA,1961,6.683333
USA,1962,5.541667
USA,1963,5.666667
USA,1964,5.191667
USA,1965,4.525
USA,1966,3.783333
USA,1967,3.841667
USA,1968,3.583333
USA,1969,3.508333
USA,1970,4.933333
USA,1971,5.958333
USA,1972,5.616667
USA,1973,4.891667
USA,1974,5.591667
USA,1975,8.466666
USA,1976,7.716667
USA,1977,7.066667
USA,1978,6.066667
USA,1979,5.833333
USA,1980,7.141667
USA,1981,7.6
USA,1982,9.708333
USA,1983,9.616667
USA,1984,7.525
USA,1985,7.191667
USA,1986,6.991667
USA,1987,6.191667
